,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
10,dens_1187941919350264461,298.15,101.33,Liquid,2,c1cc[nH]c1,Solvent,0.2273,,c1ccncc1,Solvent,0.7726999999999999,,,,0.9755600000000002,5.5000000000000016e-05,10.1016/j.fluid.2013.10.029
11,dhmix_2302696180464118683,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.2395,,c1ccncc1,Solvent,0.7605,,-1.7662,0.01145,,,10.1016/j.fluid.2013.10.029
12,dhmix_129373600931207498,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.702,,O,Solvent,0.298,,-3.393,0.036,,,10.1016/j.jct.2015.04.030
13,dhmix_313570094367316478,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.2416,,O,Solvent,0.7584,,-6.523,0.0695,,,10.1016/j.jct.2015.04.030
14,dens_548243159356184104,293.15,101.0,Liquid,2,NCCNCCN,Solvent,0.2449,,O,Solvent,0.7551,,,,1.0275000000000003,0.0005,10.1016/j.jct.2008.11.012
15,dens_913992897582667960,293.15,101.0,Liquid,2,NCCNCCN,Solvent,0.4974,,O,Solvent,0.5025999999999999,,,,0.9928000000000002,0.0005,10.1016/j.jct.2008.11.012
16,dhmix_1565087976771168604,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.501,,O,Solvent,0.499,,-5.417,0.0575,,,10.1016/j.jct.2015.04.030
17,dens_1812124220217686569,293.15,101.0,Liquid,2,NCCNCCN,Solvent,0.6988,,O,Solvent,0.3012,,,,0.9718000000000002,0.0005,10.1016/j.jct.2008.11.012
18,dhmix_135176730945124637,298.15,101.0,Liquid,2,CCCCNCCCC,Solvent,0.7518,,CN(C)C=O,Solvent,0.2482,,0.782,0.025,,,10.1016/j.fluid.2019.112283
19,dens_586298674852090193,298.15,100.0,Liquid,2,CCCCNCCCC,Solvent,0.7266,,CN(C)C=O,Solvent,0.2734,,,,0.7828350000000002,0.0009465,10.1021/acs.jced.5b00802
20,dens_711718403070096827,298.15,100.0,Liquid,2,CCCCNCCCC,Solvent,0.2639,,CN(C)C=O,Solvent,0.7361,,,,0.8609240000000001,0.001053,10.1021/acs.jced.5b00802
21,dhmix_1537913365058000269,298.15,101.0,Liquid,2,CCCCNCCCC,Solvent,0.2493999999999999,,CN(C)C=O,Solvent,0.7506,,0.921,0.029,,,10.1016/j.fluid.2019.112283
22,dhmix_1965420976556284821,298.15,101.0,Liquid,2,CCCCNCCCC,Solvent,0.5018,,CN(C)C=O,Solvent,0.4982,,1.113,0.0335,,,10.1016/j.fluid.2019.112283
23,dens_2298192241038151497,298.15,100.0,Liquid,2,CCCCNCCCC,Solvent,0.4928,,CN(C)C=O,Solvent,0.5072,,,,0.8153440000000003,0.0009895,10.1021/acs.jced.5b00802
24,dhmix_156929898609376763,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.8001,,O,Solvent,0.1998999999999999,,-1.26,0.0135,,,10.1016/j.jct.2015.04.030
25,dhmix_786210276753247951,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.1998,,O,Solvent,0.8002,,-2.514,0.027,,,10.1016/j.jct.2015.04.030
26,dens_971674883336993154,298.15,101.3,Liquid,2,CN(C)CCCO,Solvent,0.2895042123431094,,O,Solvent,0.7104957876568905,,,,0.9443,0.00285,10.1016/j.jct.2016.02.007
27,dhmix_1330584538745399524,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.5019,,O,Solvent,0.4981,,-2.706,0.029,,,10.1016/j.jct.2015.04.030
28,dens_1781759734173902013,298.15,101.0,Liquid,2,CN(C)CCCO,Solvent,0.5013,,O,Solvent,0.4987,,,,0.9170700000000004,8.000000000000002e-05,10.1016/j.tca.2012.05.025
29,dens_2299157616447228221,298.15,101.0,Liquid,2,CN(C)CCCO,Solvent,0.8006,,O,Solvent,0.1994,,,,0.8915100000000002,9.500000000000002e-05,10.1016/j.tca.2012.05.025
30,dens_296890921001565391,298.15,100.0,Liquid,2,CCCCN,Solvent,0.7552,,CN(C)C=O,Solvent,0.2448,,,,0.7762150000000002,0.000949,10.1021/acs.jced.5b00802
31,dens_380536870617309130,298.15,100.0,Liquid,2,CCCCN,Solvent,0.2428,,CN(C)C=O,Solvent,0.7572,,,,0.8845160000000002,0.0010795,10.1021/acs.jced.5b00802
32,dhmix_493117160214491795,298.15,101.0,Liquid,2,CCCCN,Solvent,0.2440999999999999,,CN(C)C=O,Solvent,0.7559,,0.245,0.008,,,10.1016/j.fluid.2019.112283
33,dhmix_789225002934078019,298.15,101.0,Liquid,2,CCCCN,Solvent,0.7502,,CN(C)C=O,Solvent,0.2498,,0.32,0.01,,,10.1016/j.fluid.2019.112283
34,dhmix_941321571782058819,298.15,101.0,Liquid,2,CCCCN,Solvent,0.4992,,CN(C)C=O,Solvent,0.5008,,0.384,0.0115,,,10.1016/j.fluid.2019.112283
35,dens_2179361372918836941,298.15,100.0,Liquid,2,CCCCN,Solvent,0.4972,,CN(C)C=O,Solvent,0.5028,,,,0.8277360000000001,0.001011,10.1021/acs.jced.5b00802
36,dhmix_334328961632702336,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4926,,Cc1cccnc1,Solvent,0.5074000000000001,,-1.4091,0.0287,,,10.1016/j.jct.2010.12.028
37,dhmix_382843935535082222,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2323,,Cc1cccnc1,Solvent,0.7677,,-1.1196,0.02285,,,10.1016/j.jct.2010.12.028
38,dens_890019852111400701,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.5336,,Cc1cccnc1,Solvent,0.4664,,,,0.9795770000000004,0.0001185,10.1016/j.jct.2010.12.028
39,dens_1033313642915027277,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7372,,Cc1cccnc1,Solvent,0.2628,,,,0.9867010000000004,0.000118,10.1016/j.jct.2010.12.028
40,dhmix_1057104304179164775,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7789,,Cc1cccnc1,Solvent,0.2210999999999999,,-0.8735,0.01785,,,10.1016/j.jct.2010.12.028
41,dens_1445313714023685702,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2467,,Cc1cccnc1,Solvent,0.7533,,,,0.9668750000000004,0.00012,10.1016/j.jct.2010.12.028
42,dens_415189671276159712,298.15,101.0,Liquid,2,NCCO,Solvent,0.78535,,c1ccncc1,Solvent,0.21465,,,,1.002592,0.000101,10.1021/je400184t
43,dhmix_607563797490786343,298.15,101.0,Liquid,2,NCCO,Solvent,0.5593600000000001,,c1ccncc1,Solvent,0.44064,,0.824,0.0035,,,10.1021/je400184t
44,dhmix_783614050589043390,298.15,101.0,Liquid,2,NCCO,Solvent,0.24812,,c1ccncc1,Solvent,0.75188,,0.779,0.0035,,,10.1021/je400184t
45,dens_907288549206652702,298.15,101.0,Liquid,2,NCCO,Solvent,0.55864,,c1ccncc1,Solvent,0.44136,,,,0.9936870000000002,0.0001015,10.1021/je400184t
46,dhmix_1092036220949585875,298.15,101.0,Liquid,2,NCCO,Solvent,0.74678,,c1ccncc1,Solvent,0.25322,,0.612,0.003,,,10.1021/je400184t
47,dens_2278246591298089898,298.15,101.0,Liquid,2,NCCO,Solvent,0.21001,,c1ccncc1,Solvent,0.78999,,,,0.9825660000000004,0.0001015,10.1021/je400184t
48,dhmix_446869196417408130,298.15,101.0,Liquid,2,NCCNCCO,Solvent,0.77,,O,Solvent,0.2299999999999999,,-1.711,0.035,,,10.1016/j.jct.2007.03.010
49,dhmix_673839467313503071,298.15,101.0,Liquid,2,NCCNCCO,Solvent,0.0699,,O,Solvent,0.9301,,-1.713,0.035,,,10.1016/j.jct.2007.03.010
50,dens_688094438561771555,298.15,101.0,Liquid,2,NCCNCCO,Solvent,0.7997,,O,Solvent,0.2003,,,,1.0318300000000002,0.00024,10.1021/je060032n
51,dhmix_1682883323293489147,313.15,101.0,Liquid,2,NCCNCCO,Solvent,0.4001,,O,Solvent,0.5999,,-4.15,0.0845,,,10.1016/j.jct.2007.03.010
52,dens_2045176885611624977,298.15,101.0,Liquid,2,NCCNCCO,Solvent,0.07,,O,Solvent,0.93,,,,1.0222800000000003,0.000125,10.1021/je060032n
53,dens_2280714043292214506,313.15,101.0,Liquid,2,NCCNCCO,Solvent,0.3997,,O,Solvent,0.6003000000000001,,,,1.0370100000000002,0.00017,10.1021/je060032n
54,dens_501060706627477242,298.15,101.3,Liquid,2,O,Solvent,0.5,,OC1=NCCC1,Solvent,0.5,,,,1.0977070000000004,0.0005555,10.1021/je0340809
55,dens_929065521104254808,298.15,101.3,Liquid,2,O,Solvent,0.2552,,OC1=NCCC1,Solvent,0.7448,,,,1.1044310000000004,0.000577,10.1021/je0340809
56,dhmix_1128968771311392860,298.15,101.0,Liquid,2,O,Solvent,0.2307,,OC1=NCCC1,Solvent,0.7693,,-0.678,0.1695,,,10.1016/j.jct.2013.09.015
57,dens_1192491633684345401,298.15,101.3,Liquid,2,O,Solvent,0.7532,,OC1=NCCC1,Solvent,0.2468,,,,1.077068,0.0004905,10.1021/je0340809
58,dhmix_1775375132531538271,298.15,101.0,Liquid,2,O,Solvent,0.5217,,OC1=NCCC1,Solvent,0.4783,,-0.8384,0.20965,,,10.1016/j.jct.2013.09.015
59,dhmix_1895825007089845103,298.15,101.0,Liquid,2,O,Solvent,0.7681,,OC1=NCCC1,Solvent,0.2319,,-0.5238,0.13095,,,10.1016/j.jct.2013.09.015
60,dhmix_578047845607378963,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.6359,,c1ccncc1,Solvent,0.3641,,-0.4013,0.10035,,,10.1016/j.jct.2013.09.015
61,dhmix_625120262301063359,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.2312,,c1ccncc1,Solvent,0.7688,,-0.3157,0.07895,,,10.1016/j.jct.2013.09.015
